09/05/26;;08h30;;Local: Ginásio de Esportes Tobias Salgado - AAF;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 090;;;;AA FERROVIÁRIA/SEMELP PINDA;;;;;;;;vs;EVY GUAIANASES FUTSAL;;;;;;;;;;;;;;;;;
09/05/26;;14h00;;Local: Ginásio Prof. João Carlos de Camargo - Votorantim;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 091;;;;AE FUTMAX;;;;;;;;vs;ROSA NEGRA/IPASURE;;;;;;;;;;;;;;;;;
09/05/26;;14h30;;Local: Ginásio do Ocian Praia Clube;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 092;;;;OCIAN PRAIA CLUBE/AJR;;;;;;;;vs;A UNIÃO MAUÁ;;;;;;;;;;;;;;;;;
10/05/26;;08h30;;Local: Ginásio CEU Jd Cumbica - Guarulhos;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 093;;;;KILOUKURA FUTSAL;;;;;;;;vs;AE DISCÍPULOS DO FUTSAL;;;;;;;;;;;;;;;;;
10/05/26;;14h30;;Local: Ginásio Vila Aparecida - Taubaté;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 094;;;;ABESC/CAÇAPAVA FUTSAL;;;;;;;;vs;ACAP;;;;;;;;;;;;;;;;;
10/05/26;;14h30;;Local: Arena CTC Vila Ema;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 095;;;;AEC INCRÍVEIS;;;;;;;;vs;AD GALATA;;;;;;;;;;;;;;;;;
Copa União - 16 e 17/05/26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6ª RODADA - Grupo A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/05/26;;14h30;;Local: Ginásio Mané Garrincha;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 096;;;;MX7 FUTSAL;;;;;;;;vs;ADC LAZULI;;;;;;;;;;;;;;;;;
24/05/26;;8h30;;Local: Ginásio Presidente Ciro II;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 097;;;;AECT BOLA NO PÉ;;;;;;;;vs;AE CHUTE FUTSAL;;;;;;;;;;;;;;;;;
24/05/26;;10h00;;Local: Arena Mirante dos Ovines;;;;;;;;;;;;;;;;;;;;;;;;;;
Jogo nº 098;;;;LIGA SOROCABANA/KGB FUTSAL;;;;;;;;vs;AA ALIANÇA/JACAREÍ;;;;;;;;;;;;;;;;;
24/05/26;;10h00;;Local: Ginásio de Esportes Edson Antão de Souza;;;;;;;;;;;;;;;;;;;;;;;;;;
